房源名称,户型,面向,面积,所属区,地址,价钱
学道街42号,2室1厅,南,57㎡,锦江区,锦江盐市口,3200 元/月
翡翠城四期,3室1厅,北,89㎡,锦江区,锦江东湖,3500 元/月
万科金润华府,3室2厅,东南,74㎡,锦江区,锦江沙河堡,2900 元/月
阳光365,1室0厅,东北,43㎡,锦江区,锦江盐市口,2000 元/月
整租·天誉花园,4室2厅,南,181㎡,锦江区,锦江东大路,10000 元/月
锦江印象,2室1厅,东南,85㎡,锦江区,锦江合江亭,3500 元/月
恒大都汇华庭,1室1厅,东,79㎡,锦江区,锦江合江亭,6000 元/月
天紫界,1室0厅,东北,30㎡,锦江区,锦江九眼桥,2000 元/月
合租·比华利国际城一期,4居室,南卧,16㎡,锦江区,锦江川师,1490 元/月
锦江印象,3室1厅,东南,102㎡,锦江区,锦江合江亭,5800 元/月
锦江印象,1室1厅,西北,45㎡,锦江区,锦江合江亭,2200 元/月
合租·澳龙名城,3居室,西卧,12㎡,锦江区,锦江攀成钢,1490 元/月
恒大都汇华庭,1室1厅,西南,68㎡,锦江区,锦江合江亭,5800 元/月
沙河壹号二期,3室2厅,东南,83㎡,锦江区,锦江沙河堡,2200 元/月
天紫界,1室1厅,东南,30㎡,锦江区,锦江九眼桥,2100 元/月
天紫界,1室1厅,东北,62㎡,锦江区,锦江九眼桥,3200 元/月
恒大都汇华庭,1室1厅,南,66㎡,锦江区,锦江合江亭,4500 元/月
公平巷23号,2室1厅,东南,56㎡,锦江区,锦江盐市口,1500 元/月
锦江印象,1室1厅,东,38㎡,锦江区,锦江合江亭,2400 元/月
合租·中粮鸿云,4居室,西南卧,7㎡,锦江区,锦江东大路,990 元/月
合租·锦蓉佳苑,4居室,西南卧,20㎡,锦江区,锦江三圣乡,1630 元/月
独栋·魔方公寓,成都天府广场店,短租,/,锦江区,,2358-2658 元/月
恒大都汇华庭,1室1厅,西,80㎡,锦江区,锦江合江亭,6200 元/月
合租·锦蓉佳苑,5居室,南卧,9㎡,锦江区,锦江三圣乡,790 元/月
塔子山壹号,2室1厅,南,90㎡,锦江区,锦江沙河堡,3200 元/月
合租·锦蓉佳苑,5居室,南卧,12㎡,锦江区,锦江三圣乡,960 元/月
天紫界,1室0厅,西北,30㎡,锦江区,锦江九眼桥,2000 元/月
尖东旺座二期,1室0厅,南,44㎡,锦江区,锦江水碾河,1600 元/月
整租·金府花园,2室1厅,东南,110㎡,锦江区,锦江合江亭,4000 元/月
整租·望江锦园,2室1厅,东南,88㎡,锦江区,锦江沙河堡,3500 元/月
合租·中房优山PLUS,5居室,南卧,13㎡,锦江区,锦江东客站,890 元/月
整租·澳龙名城,3室1厅,东南,107㎡,锦江区,锦江攀成钢,3800 元/月
合租·蜀都花园,3居室,东卧,11㎡,锦江区,锦江水碾河,1590 元/月
合租·镏金岁月,4居室,西卧,14㎡,锦江区,锦江攀成钢,1530 元/月
合租·澳龙名城,3居室,西卧,13㎡,锦江区,锦江攀成钢,1530 元/月
武成大街35号,3室1厅,南,73㎡,锦江区,锦江红星路,2200 元/月
莲花逸都,2室1厅,东南,89㎡,锦江区,锦江九眼桥,2900 元/月
独栋·马扎罗公寓,天紫界店,精致套二,65㎡,锦江区,,5800 元/月
金府花园,3室1厅,东南,156㎡,锦江区,锦江合江亭,5500 元/月
整租·城市博客VC时代,1室1厅,东,47㎡,锦江区,锦江红星路,2200 元/月
独栋·壹都锦服务公寓,春熙路店,壹都锦公寓行政大床房,/,锦江区,,5800 元/月
合租·南府锦,5居室,东卧,8㎡,锦江区,锦江九眼桥,750 元/月
整租·外滩,3室1厅,东,126㎡,锦江区,锦江九眼桥,4200 元/月
合租·中房优山PLUS,5居室,南卧,18㎡,锦江区,锦江东客站,1300 元/月
时代豪庭三期,3室1厅,东北,143㎡,锦江区,锦江合江亭,12000 元/月
合租·中房优山PLUS,4居室,南卧,18㎡,锦江区,锦江东客站,1250 元/月
整租·粼江峰阁,2室1厅,东南,102㎡,锦江区,锦江九眼桥,3600 元/月
整租·粼江峰阁,1室1厅,西南,72㎡,锦江区,锦江九眼桥,2900 元/月
世纪朝阳,2室1厅,东南,92㎡,锦江区,锦江九眼桥,3500 元/月
合租·新希望锦官阁,5居室,南卧,12㎡,锦江区,锦江沙河堡,1390 元/月
粼江峰阁,3室1厅,东南,148㎡,锦江区,锦江九眼桥,5300 元/月
合租·澳龙名城,3居室,南卧,13㎡,锦江区,锦江攀成钢,1590 元/月
恒大都汇华庭,1室1厅,东,68㎡,锦江区,锦江合江亭,4000 元/月
整租·镏金岁月,1室1厅,东北,54㎡,锦江区,锦江攀成钢,2100 元/月
锦江明珠,1室1厅,西南,73㎡,锦江区,锦江盐市口,2900 元/月
恒大都汇华庭,1室1厅,北,66㎡,锦江区,锦江合江亭,5000 元/月
城市理想,1室1厅,东南,55㎡,锦江区,锦江盐市口,3900 元/月
合租·澳龙名城,4居室,西北卧,14㎡,锦江区,锦江攀成钢,1560 元/月
整租·世代锦江商务楼,3室1厅,西北,151㎡,锦江区,锦江盐市口,9000 元/月
ICC天曜,2室1厅,西南,128㎡,锦江区,锦江东大路,4000 元/月
整租·望江嘉苑,2室1厅,东,80㎡,锦江区,锦江三官堂,2600 元/月
财富中心,1室1厅,西南,48㎡,锦江区,锦江盐市口,3000 元/月
时代豪庭三期,2室1厅,北,112㎡,锦江区,锦江合江亭,8000 元/月
